Auracle,MioXL -  MAC STUDIO,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,,Receive clock ,Send Clock,Editor,Notes
,Midimizer 3,Port #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midmizer Out,1,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midimizer In,1,←,,,cat 5,,,,Mix room - CUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cat5e needs repair
,ERM Multiclock,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,Midi Filter,Recieve Clock,Send Clock,Editor,Notes
,USB Host ,0,↔,,,,,,←,Mac Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIN Out,1,→,,,,,,,MioXM - CIRKLON MKII 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desitnation tbd
,DIN Out,2,→,,,,,,,MioXM - CIRKLON MKII 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desitnation tbd
,DIN Out,3,→,,,,,,,MioXM - CIRKLON MKII 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desitnation tbd
,DIN Out,4,→,,,,,,→,MioXM - CIRKLON MKII 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/4 Out,4,→,,,,,,,Patchbay TR 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desitnation tbd
